system:index,Fecha,Hora,Temperatura,.geo
266,2022-06-15,,14.279999999999973,"{""type"":""MultiPoint"",""coordinates"":[]}"
267,2022-06-15,,19.920000000000016,"{""type"":""MultiPoint"",""coordinates"":[]}"
268,2022-06-16,,17.95999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
269,2022-06-16,,17.730000000000018,"{""type"":""MultiPoint"",""coordinates"":[]}"
270,2022-06-17,,13.529999999999973,"{""type"":""MultiPoint"",""coordinates"":[]}"
271,2022-06-17,,1.5299999999999727,"{""type"":""MultiPoint"",""coordinates"":[]}"
272,2022-06-18,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
273,2022-06-18,,-0.01999999999998181,"{""type"":""MultiPoint"",""coordinates"":[]}"
274,2022-06-19,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
275,2022-06-19,,17.079999999999984,"{""type"":""MultiPoint"",""coordinates"":[]}"
276,2022-06-20,,5.410000000000025,"{""type"":""MultiPoint"",""coordinates"":[]}"
277,2022-06-20,,15.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
278,2022-06-21,,15.620000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
279,2022-06-21,,17.069999999999993,"{""type"":""MultiPoint"",""coordinates"":[]}"
280,2022-06-22,,16.329999999999984,"{""type"":""MultiPoint"",""coordinates"":[]}"
281,2022-06-22,,-3,"{""type"":""MultiPoint"",""coordinates"":[]}"
282,2022-06-23,,16.430000000000007,"{""type"":""MultiPoint"",""coordinates"":[]}"
283,2022-06-23,,16.689999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
284,2022-06-24,,10.279999999999973,"{""type"":""MultiPoint"",""coordinates"":[]}"
285,2022-06-24,,-3,"{""type"":""MultiPoint"",""coordinates"":[]}"
286,2022-06-25,,8.899999999999977,"{""type"":""MultiPoint"",""coordinates"":[]}"
287,2022-06-25,,14.699999999999989,"{""type"":""MultiPoint"",""coordinates"":[]}"
288,2022-06-26,,16.49000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
289,2022-06-26,,17.54000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
290,2022-06-27,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
291,2022-06-27,,15.620000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
292,2022-06-28,,14.360000000000014,"{""type"":""MultiPoint"",""coordinates"":[]}"
293,2022-06-28,,17.29000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
294,2022-06-29,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
295,2022-06-29,,3.230000000000018,"{""type"":""MultiPoint"",""coordinates"":[]}"
296,2022-06-30,,15.620000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
297,2022-06-30,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
298,2022-07-01,,12.670000000000016,"{""type"":""MultiPoint"",""coordinates"":[]}"
299,2022-07-01,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
300,2022-07-03,,14.04000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
301,2022-07-03,,17.339999999999975,"{""type"":""MultiPoint"",""coordinates"":[]}"
302,2022-07-04,,-3,"{""type"":""MultiPoint"",""coordinates"":[]}"
303,2022-07-04,,-3,"{""type"":""MultiPoint"",""coordinates"":[]}"
304,2022-07-05,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
305,2022-07-05,,9.589999999999975,"{""type"":""MultiPoint"",""coordinates"":[]}"
306,2022-07-06,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
307,2022-07-06,,16.879999999999995,"{""type"":""MultiPoint"",""coordinates"":[]}"
308,2022-07-07,,0.7200000000000273,"{""type"":""MultiPoint"",""coordinates"":[]}"
309,2022-07-07,,3.240000000000009,"{""type"":""MultiPoint"",""coordinates"":[]}"
310,2022-07-08,,16.860000000000014,"{""type"":""MultiPoint"",""coordinates"":[]}"
311,2022-07-08,,16.25999999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
312,2022-07-09,,-3,"{""type"":""MultiPoint"",""coordinates"":[]}"
313,2022-07-09,,4.769999999999982,"{""type"":""MultiPoint"",""coordinates"":[]}"
314,2022-07-10,,13.639999999999986,"{""type"":""MultiPoint"",""coordinates"":[]}"
315,2022-07-10,,2.3700000000000045,"{""type"":""MultiPoint"",""coordinates"":[]}"
316,2022-07-11,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
